LOC,SLOC_P,SLOC_L,MVG,BLOC,C_SLOC,CLOC,CWORD,HCLOC,HCWORD,No_Methods,LCOM,AVCC,NOS,HBUG,HEFF,UWCS,INST,PACK,RFC,CBO,MI,CCML,NLOC,F_IN,DIT,MINC,S_R,R_R,COH,LMC,LCOM2,MAXCC,HVOL,HIER,NQU,FOUT,SIX,EXT,NSUP,TCC,NSUB,MPC,NCO,INTR,CCOM,HLTH,MOD,bug_cnt
294,199,150,26,45,9,50,268,10,55,28,0.02,1.5,124,1.58,64076.7,38,10,10,28,0,171.99,48,172,0,1,121.99,0.0,0.0,0.08,2,426,5,4730.62,0,9,0,0.0,0,0,42,0,0,19,3,20,955,2,True
692,391,316,22,48,164,253,1579,10,55,43,0.06,1.7,330,3.43,86482.2,47,4,2,43,0,63.34,407,388,0,1,113.34,0.0,0.0,0.31,8,0,6,10293.3,0,0,0,0.0,0,0,73,0,0,43,0,203,2116,1,True
91,46,36,4,10,6,35,154,10,55,5,0.06,1.8,41,0.36,9701.01,9,4,1,5,1,79.06,31,44,1,1,111.29,0.0,0.0,0.3,0,14,5,1075.28,0,0,0,0.0,0,0,9,0,0,5,0,12,244,1,False
48,20,17,0,5,5,23,89,10,55,2,1.33,1.0,16,0.14,1931.76,5,3,0,2,0,63.81,18,19,0,1,113.81,0.0,0.0,1.0,0,2,1,413.21,0,0,0,0.0,0,0,2,0,0,2,1,8,101,1,False
65,31,28,0,5,10,29,122,10,55,2,1.71,1.0,27,0.26,5055.69,9,7,0,2,1,82.51,29,30,1,1,102.65,2.0,0.0,1.0,0,2,1,781.04,0,0,0,0.0,0,0,2,2,0,2,0,13,179,1,False
26,4,3,0,3,0,19,91,10,55,1,0.0,1.0,2,0.01,41.48,1,0,0,1,0,97.03,9,3,0,1,147.03,0.0,0.0,0.0,0,1,1,27.65,0,0,0,0.0,0,0,1,0,0,1,0,2,11,1,False
195,94,76,3,22,20,79,373,10,55,14,0.06,1.21,79,0.79,28227.8,26,12,2,14,0,86.64,89,91,0,1,118.86,0.0,0.0,0.14,0,26,4,2378.13,0,0,0,0.0,0,0,17,0,0,14,1,34,478,1,False
56,29,20,3,6,14,21,97,10,54,2,0.0,2.5,16,0.29,6424.73,2,0,0,2,0,71.92,25,28,0,1,109.49,0.0,0.5,0.0,0,2,4,870.36,0,0,0,0.0,0,1,5,0,0,2,0,15,175,1,False
62,35,26,3,7,14,20,94,10,54,2,1.33,2.5,22,0.33,7653.56,5,3,0,2,0,66.17,24,34,0,1,103.73,0.0,0.5,1.0,0,2,4,994.19,0,0,0,0.0,0,1,5,0,0,2,0,15,203,1,False
696,570,448,94,91,83,35,415,10,55,42,0.05,3.4,488,9.24,503654.0,68,26,8,43,0,139.64,108,561,0,1,99.75,0.0,0.5,0.09,27,846,21,27717.8,2,10,0,0.0,1,1,143,0,1,32,0,101,4939,1,True
90,63,49,3,16,3,11,71,10,55,11,0.1,1.18,49,0.51,8639.72,16,5,2,11,0,125.71,4,60,0,1,125.71,0.0,0.5,0.29,2,32,2,1536.6,1,1,0,0.0,0,1,13,0,0,10,0,4,348,1,True
180,137,95,31,25,0,18,140,10,55,13,0.33,1.85,74,0.88,21525.4,14,1,4,14,0,119.44,5,84,0,1,119.44,0.0,0.0,0.69,2,0,4,2640.5,0,7,0,0.0,1,0,24,0,1,6,1,5,570,1,True
317,252,182,44,32,22,33,215,10,55,19,0.1,3.58,173,2.55,118591.0,24,5,2,19,0,145.11,45,249,0,1,105.22,0.0,0.0,0.29,12,43,11,7656.16,0,1,0,0.0,0,0,68,0,0,18,1,39,1464,1,True
25,11,8,0,4,0,10,54,10,54,2,0.0,1.0,5,0.04,362.1,2,0,2,2,0,141.99,0,8,0,1,141.99,0.0,0.5,0.0,0,2,1,117.51,0,0,0,0.0,0,1,2,0,0,2,0,0,34,1,False
39,33,26,8,6,5,0,6,0,0,3,0.0,2.0,25,0.34,13005.6,3,0,3,3,0,158.51,5,29,0,1,108.51,0.0,0.0,0.0,1,3,3,1023.12,0,2,0,0.0,0,0,6,0,0,1,1,5,204,1,True
239,144,101,36,27,6,68,309,10,55,17,0.08,2.47,107,1.45,86923.5,23,6,5,17,0,133.18,64,138,0,1,112.56,0.0,0.5,0.09,2,117,11,4353.84,1,5,0,0.0,0,1,42,0,0,12,0,20,885,2,True
