LOC,SLOC_P,SLOC_L,MVG,BLOC,C_SLOC,CLOC,CWORD,HCLOC,HCWORD,No_Methods,LCOM,AVCC,NOS,HBUG,HEFF,UWCS,INST,PACK,RFC,CBO,MI,CCML,NLOC,F_IN,DIT,MINC,S_R,R_R,COH,LMC,LCOM2,MAXCC,HVOL,HIER,NQU,FOUT,SIX,EXT,NSUP,TCC,NSUB,MPC,NCO,INTR,CCOM,HLTH,MOD,bug_cnt
31,7,6,0,5,4,19,111,11,63,0,0.0,0.0,5,0.05,743.92,4,4,0,0,0,171.0,12,6,0,1,171.0,0,0.0,0.0,0,0,0,163.5,0,0,0,0.0,0,0,0,0,0,0,0,9,40,1,False
103,15,14,0,14,0,74,484,10,55,11,0.0,1.0,12,0.09,448.11,11,0,1,11,0,140.45,64,13,0,1,158.32,0,0.0,0.0,0,11,1,267.57,0,0,0,0.0,0,0,11,0,0,11,0,12,91,1,False
123,18,17,0,13,7,92,875,11,64,4,7.0,1.0,12,0.15,1747.94,11,7,4,4,0,176.35,88,13,0,1,132.41,0,0.0,0.0,0,4,1,462.19,0,0,0,0.0,0,0,4,0,0,4,0,19,112,1,True
351,249,187,42,48,7,54,308,10,55,31,0.02,1.77,160,2.14,90496.9,42,11,9,31,0,167.51,50,223,0,1,117.51,0,0.0,0.08,3,508,8,6420.25,0,10,0,0.0,0,0,55,0,0,21,3,22,1268,2,True
788,467,373,36,52,178,269,1735,10,55,47,0.05,1.94,397,4.28,139722.0,51,4,3,47,0,59.81,437,463,0,1,109.81,0,0.0,0.3,9,0,7,12831.6,0,0,0,0.0,0,0,91,0,0,47,1,219,2563,1,True
91,46,36,4,10,6,35,154,10,55,5,0.06,1.8,41,0.36,9701.01,9,4,1,5,1,79.06,31,44,1,1,111.29,0,0.0,0.3,0,14,5,1075.28,0,0,0,0.0,0,0,9,0,0,5,0,12,244,1,False
48,20,17,0,5,5,23,89,10,55,2,1.33,1.0,16,0.14,1931.76,5,3,0,2,0,63.81,18,19,0,1,113.81,0,0.0,1.0,0,2,1,413.21,0,0,0,0.0,0,0,2,0,0,2,1,8,101,1,False
65,31,28,0,5,10,29,122,10,55,2,1.71,1.0,27,0.26,5055.69,9,7,0,2,1,82.51,29,30,1,1,102.65,2,0.0,1.0,0,2,1,781.04,0,0,0,0.0,0,0,2,2,0,2,0,13,179,1,True
26,4,3,0,3,0,19,91,10,55,1,0.0,1.0,2,0.01,41.48,1,0,0,1,0,97.03,9,3,0,1,147.03,0,0.0,0.0,0,1,1,27.65,0,0,0,0.0,0,0,1,0,0,1,0,2,11,1,False
206,102,80,4,26,19,78,372,10,55,17,0.05,1.24,80,0.86,27678.3,32,15,2,17,0,105.33,87,99,0,1,123.2,0,0.0,0.12,0,32,5,2589.35,0,0,0,0.0,0,0,21,0,0,17,1,33,528,1,True
